;user_id_str;POS tagged;Subjectivity;Polarity;TextBlob
32;1,17031E+18;[('layanan', 'a'), ('alfagift', 'n'), ('mu', 'n'), ('sangat', 'n'), ('berarti', 'n'), ('tapi', 'n'), ('ya', 'n'), ('jangan', 'n'), ('sampe', None), ('nunggu', 'a'), ('sejam', 'n'), ('baru', 'n'), ('dateng', 'n')];0.0;0.0;Neutral
33;1,12208E+18;[('min', 'n'), ('mohon', 'n'), ('info', 'n'), ('cara', 'n'), ('kl', 'n'), ('mau', 'n'), ('bikin', None), ('pengaduan', 'n'), ('layanan', 'n'), ('konsumen', 'n'), ('dong', None)];0.0;0.0;Neutral
34;155657333;[('cek', 'n'), ('dm', 'n'), ('min', 'n'), ('komplain', 'n'), ('soal', 'n'), ('layanan', 'n'), ('pembayaran', 'n')];0.0;0.0;Neutral
35;73090798;[('disemua', 'a'), ('alfamart', 'n'), ('lah', 'n'), ('min', 'n'), ('kalau', 'n'), ('ada', 'n'), ('gangguan', 'a'), ('layanan', 'n'), ('pembayaran', 'n'), ('misal', 'n'), ('qris', None), ('atau', 'a'), ('ppob', 'n'), ('mending', None), ('ditulis', 'n'), ('di', 'r'), ('depan', None), ('pintu', 'a'), ('atau', 'n'), ('di', 'n'), ('depan', 'n'), ('kasir', 'n'), ('biar', 'n'), ('org', 'n'), ('ga', 'n'), ('ikut', 'n'), ('antri', 'n'), ('cmn', 'n'), ('buat', 'n'), ('dibilang', 'n'), ('gangguan', 'n')];0.0;0.0;Neutral
36;1,451E+18;[('kalo', 'n'), ('kontrakanmu', 'n'), ('deket', 'n'), ('alfamart', 'n'), ('yg', 'n'), ('ada', 'n'), ('layanan', None), ('pesan', 'a'), ('antar', 'n'), ('download', 'n'), ('aja', 'n'), ('apk', 'n'), ('alfagift', 'n'), ('nanti', 'a'), ('kamu', 'n'), ('bisa', 'n'), ('pesen', 'n'), ('jajan', 'n'), ('dan', 'n'), ('barang', 'n'), ('lain', 'n'), ('yang', 'n'), ('ada', 'n'), ('di', 'a'), ('alfamart', 'n'), ('dari', 'n'), ('rumah', 'n'), ('gratis', 'n'), ('ongkir', 'n'), ('kok', 'n'), ('kalo', 'n'), ('pembayarannya', 'n'), ('lewat', 'n'), ('e', 'n'), ('wallet', 'n'), ('atau', 'a'), ('banking', 'n'), ('gada', 'n'), ('min', 'n'), ('ordernya', 'n'), ('kalo', 'n'), ('mau', 'n'), ('cod', 'n'), ('min', 'n'), ('order', 'n'), ('k', 'n')];0.0;0.0;Neutral
37;108557222;[('lebih', 'n'), ('praktis', 'n'), ('kalau', 'n'), ('begitu', 'n'), ('mungkin', None), ('indomaret', 'a'), ('dan', 'n'), ('alfamart', 'n'), ('bisa', 'n'), ('tawarkan', 'n'), ('layanan', 'n'), ('titip', 'n'), ('alamat', 'n'), ('semacam', 'n'), ('ini', 'n'), ('kalau', 'n'), ('di', 'n'), ('indonesia', 'n'), ('saat', 'n'), ('ini', 'n'), ('bisa', 'n'), ('dikirim', 'a'), ('ke', 'n'), ('alamat', 'n'), ('agen', 'n'), ('kurir', 'n'), ('di', 'n'), ('kota', 'n'), ('yg', 'n'), ('kita', None), ('inginkan', 'a'), ('asal', 'n'), ('pakai', 'n'), ('kurir', 'n'), ('yang', 'n'), ('sama', 'n')];0.0;0.0;Neutral
38;293290619;[('layanan', 'a'), ('kurban', 'n'), ('email', 'n'), ('layananmuzaki', 'n'), ('baznas', 'n'), ('go', None), ('id', 'a'), ('baznas', 'n'), ('kurban', None), ('kurbanberkahbaznas', 'n'), ('alfamart', None)];0.0;0.0;Neutral
39;1,65988E+18;[('update', 'a'), ('siwon', None), ('oh', 'a'), ('iya', 'n'), ('info', 'n'), ('layanan', 'n'), ('masyarakat', 'n'), ('elf', None), ('kalau', None), ('masih', 'a'), ('ada', 'n'), ('yg', 'n'), ('nyari', 'a'), ('tapcash', 'n'), ('siwon', None), ('tadi', 'a'), ('di', 'a'), ('alfamart', 'n'), ('daerah', 'n'), ('joglo', 'n'), ('depan', 'n'), ('mcd', 'n'), ('kl', 'n'), ('ga', 'n'), ('salah', 'n'), ('masih', 'n'), ('ada', 'n'), ('beberapa', 'n')];0.0;0.0;Neutral
40;65303894;[('guys', 'n'), ('ada', None), ('platform', 'n'), ('investasi', 'n'), ('bisnis', 'n'), ('bagus', 'n'), ('kita', None), ('bisa', 'a'), ('punya', 'n'), ('bisnis', 'n'), ('alfamart', 'n'), ('hingga', None), ('sour', 'a'), ('sally', 'r'), ('mulai', None), ('dari', 'a'), ('rp', 'n'), ('juta', 'n'), ('pakai', 'n'), ('kode', 'n'), ('mdlt', 'n'), ('f', 'a'), ('dan', 'n'), ('dapatkan', 'a'), ('cashback', 'n'), ('biaya', 'n'), ('layanan', 'n'), ('untuk', 'a'), ('investasi', 'n'), ('perdanamu', 'n'), ('yuk', 'n'), ('daftar', 'n'), ('sekarang', 'n'), ('juga', 'n'), ('di', 'n'), ('kuota', 'n'), ('terbatas', 'n')];0.09999999999999999;-0.15000000000000002;Negative
41;1,58846E+18;[('linkaja', 'n'), ('indonesia', 'n'), ('menit', 'n'), ('saldomu', 'n'), ('habis', 'n'), ('waktu', 'n'), ('kritis', 'n'), ('tenang', 'n'), ('isi', 'n'), ('langsung', 'n'), ('di', None), ('alfamart', 'a'), ('dan', 'n'), ('alfamidi', 'n'), ('terdekat', 'n'), ('info', 'n'), ('lengkap', 'n'), ('cek', 'n'), ('pede', 'n'), ('apa', 'n'), ('bisa', 'n'), ('layanan', 'n'), ('customer', 'n'), ('sevice', 'n'), ('linkaja', 'n'), ('live', None), ('chat', 'n')];0.5;0.13636363636363635;Positive
